camp,ngo3,ngo2,ngo1,mos3,mos2,mos1
Camp 10,0.0000,0.6333,0.4400,0.0000,0.7167,0.5600
Camp 11,0.0000,0.7200,0.3636,0.0000,0.8000,0.7576
Camp 12,0.0303,0.7794,0.3947,0.0303,0.8824,0.5526
Camp 13,0.0000,0.6627,0.3529,0.0000,0.8313,0.6176
Camp 14,0.0000,0.7000,0.2857,0.0000,0.8000,0.5429
Camp 15,0.0667,0.7656,0.6000,0.0667,0.7813,0.5200
Camp 16,0.1667,0.7361,0.6000,0.1111,0.6806,0.6000
Camp 17,0.0000,0.5357,0.4138,0.0000,0.6786,0.5172
Camp 18,0.0769,0.6981,0.7419,0.0769,0.7736,0.7419
Camp 19,0.0000,0.6849,0.3469,0.0476,0.6986,0.5714
Camp 1E,0.0000,0.4516,0.3529,0.0526,0.6935,0.6471
Camp 1W,0.0000,0.5915,0.4074,0.0000,0.7887,0.5556
Camp 20,0.0000,0.7213,0.5238,0.0000,0.8689,0.6667
Camp 21,0.0000,0.6364,0.3438,0.0000,0.6883,0.5000
Camp 22,0.0000,0.7667,0.5135,0.0000,0.7500,0.5946
Camp 23,0.0000,0.7200,0.6250,0.0909,0.7200,0.5417
Camp 24,0.0000,0.6389,0.3913,0.0000,0.6944,0.5652
Camp 25,0.0000,0.6789,0.4808,0.0000,0.7248,0.5962
Camp 26,0.0000,0.6566,0.3000,0.0000,0.7879,0.5750
Camp 27,0.0588,0.5714,0.3864,0.0588,0.7321,0.5455
Camp 2E,0.0000,0.5393,0.3103,0.0000,0.7191,0.6552
Camp 2W,0.0000,0.5634,0.1852,0.0455,0.7465,0.4444
Camp 3,0.0556,0.5652,0.3478,0.0556,0.7681,0.6957
Camp 4,0.0909,0.7869,0.5000,0.0000,0.8033,0.5455
Camp 5,0.0000,0.4211,0.1786,0.0000,0.8070,0.7500
Camp 6,0.0000,0.4565,0.3077,0.1000,0.7609,0.6923
Camp 7,0.0000,0.5833,0.1481,0.0435,0.8333,0.4815
Camp 8E,0.0000,0.5614,0.6316,0.0000,0.7018,0.6316
Camp 8W,0.0588,0.7045,0.5385,0.0588,0.7273,0.6538
Camp 9,0.0000,0.5574,0.3939,0.0588,0.7213,0.4545
Nayapara RC,0.0000,0.5733,0.3750,0.0385,0.6267,0.4375
