Camp Name,debt servicing,rent,other,Education,Shelter materials,hygiene,transport,communication,tobacco,Healthcare,fuel,clothing,Food
Camp 10,0,0,0,0,0,150,300,300,500,1000,2000,2500,4000
Camp 11,0,0,0,50,0,0,200,300,450,1000,1500,2500,4000
Camp 12,0,0,0,0,1000,100,400,400,400,1500,2000,3000,4000
Camp 13,0,0,0,0,0,0,200,200,500,500,1500,1500,4000
Camp 14,0,0,0,0,0,0,200,200,500,350,1000,100,3750
Camp 15,0,0,0,0,0,0,175,225,425,100,1200,1500,4000
Camp 16,0,0,0,0,0,0,200,200,500,400,1040,500,4000
Camp 17,0,0,0,0,0,0,200,200,300,500,500,1500,3000
Camp 18,0,0,0,0,0,0,100,200,400,200,1000,1100,3000
Camp 19,0,0,0,0,0,0,400,300,400,500,1500,1500,4000
Camp 1E,0,0,0,150,0,200,300,300,0,1000,1200,3000,4000
Camp 1W,0,0,0,0,0,100,200,200,0,1000,1000,2000,4000
Camp 20,0,0,0,0,0,50,200,150,0,450,1000,1000,4000
Camp 21,0,0,0,0,0,0,250,300,450,600,800,1000,4000
Camp 22,0,0,0,0,0,0,150,200,500,600,1000,0,3000
Camp 23,0,0,0,0,0,0,300,250,500,1000,1000,1000,4000
Camp 24,0,0,0,0,0,0,200,300,500,600,1500,0,4000
Camp 25,0,400,0,0,0,0,200,200,400,200,1000,0,3000
Camp 26,0,0,0,0,0,0,100,300,500,500,1000,0,4500
Camp 27,0,300,0,0,0,0,200,300,375,450,700,0,4000
Camp 2E,0,0,0,100,0,200,300,300,200,1500,1000,3500,5000
Camp 2W,0,0,0,125,0,0,200,300,500,1000,1000,1500,4000
Camp 3,0,0,0,0,0,0,300,250,0,500,600,3000,4000
Camp 4,0,0,200,0,0,100,300,300,300,1000,500,2500,4000
Camp 5,0,0,0,0,0,0,200,300,100,700,600,2000,4000
Camp 6,0,0,0,0,0,0,200,300,500,700,1000,2000,4000
Camp 7,0,0,200,0,100,30,300,300,0,1200,1000,4000,4000
Camp 8E,0,0,0,0,0,100,300,400,500,1000,1500,2000,4000
Camp 8W,0,0,0,50,0,100,150,200,450,500,1000,2000,3000
Camp 9,0,0,0,0,0,0,200,500,300,1500,1500,3500,4000
Nayapara RC,0,0,0,200,0,150,250,250,400,1000,1000,0,5000
