Camp,Other,abuse,psych,reg,viol_home,cm,cl,rd,nd,rec,comm_voi,kidnap
Camp 10,0.0200,0.0100,0.0600,0.0200,0.0900,0.2700,0.3300,0.1300,0.2100,0.2400,0.2800,0.4200
Camp 11,0.0500,0.0000,0.0400,0.0000,0.0400,0.1400,0.1800,0.1200,0.2100,0.2900,0.3500,0.6400
Camp 12,0.0000,0.0100,0.0300,0.0200,0.0600,0.1500,0.2600,0.2800,0.2600,0.1200,0.2400,0.4100
Camp 13,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0400,0.2400,0.0400,0.5600,0.3600,0.6000
Camp 14,0.0000,0.0000,0.0100,0.0400,0.0200,0.0100,0.0600,0.1500,0.4000,0.0900,0.0400,0.3400
Camp 15,0.0000,0.0200,0.0100,0.0200,0.0000,0.0400,0.0100,0.3100,0.0300,0.5800,0.4000,0.6900
Camp 16,0.0000,0.0300,0.0200,0.0000,0.0700,0.0100,0.0700,0.1000,0.4600,0.0400,0.1600,0.2900
Camp 17,0.0000,0.0100,0.0100,0.0000,0.1100,0.0000,0.0200,0.2400,0.3000,0.0600,0.2700,0.5100
Camp 18,0.0000,0.0100,0.0000,0.0000,0.0700,0.0000,0.1300,0.2000,0.3600,0.0900,0.1600,0.4000
Camp 19,0.0000,0.0100,0.0500,0.0300,0.0400,0.0700,0.1600,0.1200,0.2500,0.3600,0.2900,0.4900
Camp 1E,0.0500,0.0100,0.0600,0.0100,0.0100,0.2000,0.1800,0.1100,0.3000,0.2300,0.1700,0.4300
Camp 1W,0.0000,0.0100,0.0100,0.0900,0.0100,0.0100,0.0500,0.2600,0.1600,0.2500,0.3400,0.4800
Camp 20,0.0000,0.0000,0.0200,0.0200,0.0200,0.0100,0.0600,0.3000,0.0300,0.5700,0.4300,0.5600
Camp 21,0.0300,0.0000,0.0000,0.0100,0.0400,0.1400,0.2000,0.2600,0.2000,0.1900,0.2200,0.5800
Camp 22,0.0000,0.0100,0.0100,0.0200,0.0200,0.0200,0.0700,0.2000,0.2900,0.3300,0.1800,0.5600
Camp 23,0.0100,0.0100,0.0200,0.0000,0.0400,0.0400,0.0700,0.1400,0.4100,0.2400,0.1300,0.3700
Camp 24,0.0200,0.0100,0.0100,0.0100,0.0000,0.1400,0.2400,0.2000,0.1500,0.3600,0.2500,0.5100
Camp 25,0.0000,0.0000,0.0100,0.0000,0.0100,0.0200,0.0500,0.2100,0.3700,0.1700,0.0900,0.3700
Camp 26,0.0400,0.0000,0.0000,0.0100,0.0400,0.0700,0.1200,0.3200,0.3200,0.3000,0.1500,0.4900
Camp 27,0.0000,0.0100,0.0100,0.0100,0.0100,0.1000,0.2500,0.2200,0.1400,0.3800,0.3100,0.6000
Camp 2E,0.0700,0.0000,0.0300,0.0000,0.0400,0.0100,0.1300,0.1600,0.2300,0.0100,0.4600,0.4800
Camp 2W,0.0000,0.0000,0.0200,0.0000,0.0000,0.0300,0.1000,0.1600,0.3800,0.1100,0.1400,0.4100
Camp 3,0.0000,0.0000,0.0000,0.0500,0.0100,0.0100,0.0600,0.2200,0.0800,0.3400,0.2500,0.6100
Camp 4,0.0700,0.0100,0.0000,0.0000,0.0400,0.0300,0.0300,0.0700,0.3300,0.0700,0.3700,0.4800
Camp 5,0.0200,0.0100,0.0500,0.0700,0.0300,0.0100,0.0300,0.2600,0.3500,0.2000,0.1300,0.3400
Camp 6,0.0000,0.0200,0.0000,0.0200,0.0100,0.0000,0.0500,0.1500,0.0600,0.6100,0.3800,0.7500
Camp 7,0.0000,0.0100,0.0300,0.0300,0.0200,0.0300,0.0400,0.2200,0.2000,0.2800,0.3300,0.3700
Camp 8E,0.0000,0.0000,0.0200,0.0700,0.0200,0.0100,0.0500,0.2100,0.2800,0.1400,0.2800,0.3100
Camp 8W,0.0000,0.0100,0.0000,0.0000,0.0200,0.0000,0.0600,0.2200,0.4000,0.0800,0.1100,0.4000
Camp 9,0.0000,0.0100,0.0000,0.0400,0.0000,0.0400,0.0400,0.2900,0.1000,0.2400,0.4900,0.6800
Nayapara RC,0.0000,0.0100,0.0300,0.0100,0.0300,0.0200,0.0700,0.2600,0.3900,0.3700,0.1500,0.3400
